t[s](1)           t[s/mm2](2)       r[mm](3)          r/rd[-](4)        T[K](5)           Tfib[K](6)        v[m/s](7)         dummy(8)          NC7H16_w(9)       
4.804485347e-04   9.805072138e-04   2.717869825e-01   7.765873000e-01   3.000000000e+02   3.000000000e+02   1.326376241e-13   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   2.793818835e-01   7.982885000e-01   3.000000000e+02   3.000000000e+02   1.876750688e-12   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   2.865468389e-01   8.187612000e-01   3.000000002e+02   3.000000000e+02   2.265449352e-11   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   2.933062420e-01   8.380751000e-01   3.000000021e+02   3.000000000e+02   2.317292921e-10   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   2.996830512e-01   8.562958000e-01   3.000000202e+02   3.000000000e+02   1.993507426e-09   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   3.056988952e-01   8.734851000e-01   3.000001671e+02   3.000000000e+02   1.430370587e-08   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   3.113742473e-01   8.897015000e-01   3.000011597e+02   3.000000000e+02   8.482795646e-08   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   3.167283215e-01   9.049999000e-01   3.000067057e+02   3.000000000e+02   4.118113747e-07   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   3.217793513e-01   9.194324000e-01   3.000320746e+02   3.000000000e+02   1.620860945e-06   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   3.265444507e-01   9.330479000e-01   3.001261723e+02   3.000000000e+02   5.128465628e-06   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   3.310398585e-01   9.458928000e-01   3.004068083e+02   3.000000000e+02   1.297650532e-05   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   3.352807987e-01   9.580106000e-01   3.010762837e+02   3.000000000e+02   2.628223468e-05   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   3.392816903e-01   9.694425000e-01   3.023550582e+02   3.000000000e+02   4.302820913e-05   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   3.430560774e-01   9.802272000e-01   3.043304469e+02   3.000000000e+02   5.804190812e-05   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   3.466168740e-01   9.904016000e-01   3.068473860e+02   3.000000000e+02   6.619520214e-05   0.000000000e+00   1.000000000e+00   
4.804485347e-04   9.805072138e-04   3.499760845e-01   1.000000000e+00   3.095641095e+02   4.520000000e+02   6.530537105e-05   0.000000000e+00   1.000000000e+00   

1.470292888e-02   3.000597732e-02   1.000000000e-13   2.854722464e-13   3.000000006e+02   3.000000000e+02   9.864396822e-23   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.300009575e-02   6.565889000e-02   3.000000006e+02   3.000000000e+02   2.933228812e-12   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   4.469828560e-02   1.276012000e-01   3.000000015e+02   3.000000000e+02   1.258531817e-11   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   6.516829651e-02   1.860374000e-01   3.000000053e+02   3.000000000e+02   5.025794406e-11   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   8.447963087e-02   2.411659000e-01   3.000000192e+02   3.000000000e+02   1.885841177e-10   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   1.026978642e-01   2.931739000e-01   3.000000672e+02   3.000000000e+02   6.548904458e-10   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   1.198848590e-01   3.422380000e-01   3.000002212e+02   3.000000000e+02   2.087659745e-09   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   1.360990446e-01   3.885250000e-01   3.000006760e+02   3.000000000e+02   6.087836404e-09   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   1.513954177e-01   4.321919000e-01   3.000019096e+02   3.000000000e+02   1.622678222e-08   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   1.658259624e-01   4.733871000e-01   3.000049756e+02   3.000000000e+02   3.957262003e-08   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   1.794396851e-01   5.122505000e-01   3.000119618e+02   3.000000000e+02   8.850055891e-08   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   1.922828250e-01   5.489141000e-01   3.000265833e+02   3.000000000e+02   1.821132139e-07   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.043989590e-01   5.835023000e-01   3.000547761e+02   3.000000000e+02   3.462719286e-07   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.158293171e-01   6.161328000e-01   3.001050582e+02   3.000000000e+02   6.113993009e-07   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.266126421e-01   6.469162000e-01   3.001884037e+02   3.000000000e+02   1.007972702e-06   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.367856100e-01   6.759572000e-01   3.003174871e+02   3.000000000e+02   1.560739131e-06   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.463827601e-01   7.033544000e-01   3.005053621e+02   3.000000000e+02   2.283361378e-06   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.554366700e-01   7.292008000e-01   3.007638512e+02   3.000000000e+02   3.175161354e-06   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.639780958e-01   7.535842000e-01   3.011020294e+02   3.000000000e+02   4.220773726e-06   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.720360069e-01   7.765873000e-01   3.015251262e+02   3.000000000e+02   5.392466669e-06   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.796378667e-01   7.982885000e-01   3.020340444e+02   3.000000000e+02   6.654221972e-06   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.868093870e-01   8.187612000e-01   3.026254530e+02   3.000000000e+02   7.966284648e-06   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.935749834e-01   8.380751000e-01   3.032924002e+02   3.000000000e+02   9.289428555e-06   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   2.999576354e-01   8.562958000e-01   3.040251776e+02   3.000000000e+02   1.058814790e-05   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   3.059789913e-01   8.734851000e-01   3.048123000e+02   3.000000000e+02   1.183272407e-05   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   3.116595435e-01   8.897015000e-01   3.056414564e+02   3.000000000e+02   1.300021837e-05   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   3.170185233e-01   9.049999000e-01   3.065002875e+02   3.000000000e+02   1.407453367e-05   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   3.220741811e-01   9.194324000e-01   3.073770375e+02   3.000000000e+02   1.504594514e-05   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   3.268436465e-01   9.330479000e-01   3.082609557e+02   3.000000000e+02   1.591018474e-05   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   3.313431733e-01   9.458928000e-01   3.091425898e+02   3.000000000e+02   1.666743806e-05   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   3.355879992e-01   9.580106000e-01   3.100138696e+02   3.000000000e+02   1.732125625e-05   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   3.395925566e-01   9.694425000e-01   3.108681474e+02   3.000000000e+02   1.787760304e-05   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   3.433704020e-01   9.802272000e-01   3.117001086e+02   3.000000000e+02   1.834398803e-05   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   3.469344612e-01   9.904016000e-01   3.125057027e+02   3.000000000e+02   1.872883946e-05   0.000000000e+00   1.000000000e+00   
1.470292888e-02   3.000597732e-02   3.502967495e-01   1.000000000e+00   3.132819336e+02   4.520000000e+02   1.906411310e-05   0.000000000e+00   1.000000000e+00   

1.597689889e-01   3.260591611e-01   1.000000000e-13   2.842906472e-13   3.055063117e+02   3.000000000e+02   -1.150249459e-20  0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   2.309569120e-02   6.565889000e-02   3.055063117e+02   3.000000000e+02   6.225313401e-07   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   4.488406539e-02   1.276012000e-01   3.057077318e+02   3.000000000e+02   1.217702160e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   6.543915595e-02   1.860374000e-01   3.060609655e+02   3.000000000e+02   1.792777913e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   8.483075414e-02   2.411659000e-01   3.065346724e+02   3.000000000e+02   2.351609894e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   1.031247081e-01   2.931739000e-01   3.071073565e+02   3.000000000e+02   2.895772392e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   1.203831372e-01   3.422380000e-01   3.077618113e+02   3.000000000e+02   3.425342487e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   1.366647140e-01   3.885250000e-01   3.084832948e+02   3.000000000e+02   3.939504195e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   1.520246636e-01   4.321919000e-01   3.092587666e+02   3.000000000e+02   4.436996568e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   1.665151860e-01   4.733871000e-01   3.100765471e+02   3.000000000e+02   4.916445842e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   1.801854915e-01   5.122505000e-01   3.109261367e+02   3.000000000e+02   5.376576925e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   1.930820114e-01   5.489141000e-01   3.117981247e+02   3.000000000e+02   5.816344484e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   2.052485038e-01   5.835023000e-01   3.126841264e+02   3.000000000e+02   6.234996268e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   2.167263700e-01   6.161328000e-01   3.135767467e+02   3.000000000e+02   6.632098172e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   2.275545138e-01   6.469162000e-01   3.144695106e+02   3.000000000e+02   7.007513444e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   2.377697637e-01   6.759572000e-01   3.153568320e+02   3.000000000e+02   7.361383433e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   2.474068025e-01   7.033544000e-01   3.162339387e+02   3.000000000e+02   7.694080238e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   2.564983432e-01   7.292008000e-01   3.170968130e+02   3.000000000e+02   8.006168786e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   2.650752697e-01   7.535842000e-01   3.179421278e+02   3.000000000e+02   8.298362889e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   2.731666721e-01   7.765873000e-01   3.187671722e+02   3.000000000e+02   8.571486438e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   2.808001275e-01   7.982885000e-01   3.195698040e+02   3.000000000e+02   8.826443304e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   2.880014548e-01   8.187612000e-01   3.203483495e+02   3.000000000e+02   9.064177373e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   2.947951711e-01   8.380751000e-01   3.211015821e+02   3.000000000e+02   9.285658315e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   3.012043514e-01   8.562958000e-01   3.218286415e+02   3.000000000e+02   9.491859800e-06   0.000000000e+00   1.000000000e+00   
1.597689889e-01   3.260591611e-01   3.072507339e-01   8.734851000e-01   3.225289847e+02   3.000000000e+02   9.683738005e-06   0.000000000e+00   1.000000000e+00   
