t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    TMax[K](6)        DTMax[mm](7)      DTMax/D[-](8)     OHMax[-](9)       DOHMax[mm](10)    DOHMax/D[-](11)    fvMax[-](12)      DfvMax[mm](13)    DfvMax/D[-](14)    
5.926093677e-05   1.152736915e-04   7.170189935e-01   5.141162370e-01   1.000052981e+00   1.558376040e+03   1.973851320e+00   2.752857787e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.961784585e-05   1.159679469e-04   7.170191295e-01   5.141164321e-01   1.000053361e+00   1.557611786e+03   1.965017728e+00   2.740537383e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.979630040e-05   1.163150746e-04   7.170191976e-01   5.141165297e-01   1.000053551e+00   1.557232863e+03   1.965017728e+00   2.740537122e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.033166403e-05   1.173564578e-04   7.170194019e-01   5.141168228e-01   1.000054121e+00   1.556106577e+03   1.965017728e+00   2.740536341e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.154515492e-05   1.197169263e-04   7.170198648e-01   5.141174864e-01   1.000055412e+00   1.553616460e+03   1.946492580e+00   2.714698261e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.183068219e-05   1.202723306e-04   7.170199736e-01   5.141176426e-01   1.000055715e+00   1.553042563e+03   1.946653207e+00   2.714921870e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.243742763e-05   1.214525649e-04   7.170202050e-01   5.141179744e-01   1.000056361e+00   1.551840122e+03   1.937538345e+00   2.702208852e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.365091853e-05   1.238130334e-04   7.170206673e-01   5.141186373e-01   1.000057650e+00   1.549497566e+03   1.919574627e+00   2.677153832e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.465026397e-05   1.257569486e-04   7.170210476e-01   5.141191827e-01   1.000058711e+00   1.547632086e+03   1.909963831e+00   2.663748627e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
6.607790031e-05   1.285339704e-04   7.170215905e-01   5.141199612e-01   1.000060225e+00   1.545064024e+03   1.894178608e+00   2.641731620e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
